Keyword,ESO_keyword,value,comment,skip
INSTRUME,INSTRUME,,ok,False
ORGANIZA,,ESO,ok,False
DATALVL,,2,ok,False
OBSERVER,OBSERVER,,ok,False
PROGRAM,HIERARCH ESO OBS PROG ID,,ok,False
PINAME,PI-COI,,ok,False
OBSTYPE,HIERARCH ESO DPR CATG,,ok,False
OBSMODE,HIERARCH ESO INS MODE,,ok,False
RESMODE,,,same as OBSMODE?,False
READMODE,HIERARCH ESO DET READ CURNAME,,,False
OBJECT,OBJECT,,,False
ALIASES1,HIERARCH ESO OBS NAME,,,False
ALIASESN,HIERARCH ESO OBS TARG NAME,,,False
FILENAME,,,compute the new filename -> ARCFILE + L_2,False
DATE,DATE,,,False
DATE-OBS,DATE-OBS,,,False
JD_UTC,MJD-OBS,,NEED conversion between mjd and jd,False
EXPTIME,EXPTIME,,,False
FIBER1,HIERARCH ESO INS5 FESELA NAME,,,False
FIBER2,HIERARCH ESO INS5 FESELB NAME,,,False
FIBER3,,None,,True
FIBERN,,None,,True
CATSRC,,,is it Gaia?,False
CATID,,,Compute,False
CATRA,HIERARCH ESO TEL%UT% TARG ALPHA,,,False
CATDEC,HIERARCH ESO TEL%UT% TARG DELTA,,,False
CATEQNX,EQUINOX,,,False
CATEPOCH,,,Not sure,False
CATPLX,HIERARCH ESO TEL%UT% TARG PARALLAX,,,False
CATPMRA,HIERARCH ESO TEL%UT% TARG PMA,,,False
CATPMDEC,HIERARCH ESO TEL%UT% TARG PMD,,,False
CATSYSRV,HIERARCH ESO OCS OBJ RV,,,False
CATZ,HIERARCH ESO OCS OBJ Z EM,,,False
CATCOLOR,HIERARCH ESO OCS OBJ BV,,,False
OBSERVAT,ORIGIN,,,False
TELESCOP,TELESCOP,,,False
OBSLON,HIERARCH ESO TEL%UT% GEOLON,,,False
OBSLAT,HIERARCH ESO TEL%UT% GEOLAT,,,False
OBSALT,HIERARCH ESO TEL%UT% GEOELEV,,,False
SEEING,HIERARCH ESO TEL%UT% AMBI FWHM START,,,False
AIRMASS,HIERARCH ESO TEL%UT% AIRM START,,,False
TCSTIME,HIERARCH ESO TPL START,,Not sure,False
TCSRA,HIERARCH ESO INS%UT% ADC1 RA,,values seem strange,False
TCSDEC,HIERARCH ESO INS%UT% ADC1 DEC,,value seems strange,False
TCSEQNX,HIERARCH ESO TEL%UT% TARG EQUINOX,,,False
TCSEPOCH,HIERARCH ESO TEL%UT% TARG EPOCH,,,False
TCSEL,HIERARCH ESO TEL%UT% ALT,,not sure,False
TCSZA,,,compute,False
TCSAZ,HIERARCH ESO TEL%UT% AZ,,,False
TCSHA,,,compute from RA?,False
TCSLST,LST,,,False
SUNAGL,,,,False
MOONAGL,,,"compute from HIERARCH ESO TEL3 MOON DEC = -8.86417 / [deg] -08:51:50.9 DEC (J2000)      and target angle     
HIERARCH ESO TEL3 MOON RA?",False
MOONRV,,,?,False
INTEMP1,HIERARCH ESO TEL%UT% TH M1 TEMP,,adapt,False
INTEMP1T,,,?,False
INTEMP2,HIERARCH ESO TEL%UT% AMBI TEMP,,,False
INTEMP2T,,,?,False
INTEMPN,,,? -> should we put all tmep related keys?,False
INTEMPNT,,,?,False
INHUM,HIERARCH ESO TEL%UT% AMBI RHUM,,is it inside or outside,False
INHUMT,,,?,False
OUTTMP,HIERARCH ESO INS%UT% ADC1 TEMP,,not sure,False
OUTTMPT,,,,False
OUTHUM,,,?,False
OUTHUMT,,,,False
ENVWINDS,HIERARCH ESO TEL%UT% AMBI WINDSP,,,False
ENVWINDD,HIERARCH ESO TEL%UT% AMBI WINDDIR,,,False
DRPTAG,,,,False
DRPHASH,,,,False
EXTRACT,,,,False
EXTSNR1,,,Should we put all the ESO QC SNR HEADERS?,False
EXTSNRW1,,,,False
EXTSNR2,,,,False
EXTSNRW2,,,,False
EXTSNRN,,,,False
EXTSNRWN,,,,False
INJECFLG,,,,False
ADCFLAG,,,,False
AGITFLAG,,,,False
MISCFLAG,,,,False
DQSUMMAR,,,,False
DQLVL0,,,,False
DQLVL1,,,,False
DQLVL2,,,,False
DQLVL3,,,,False
