order,fsr_start,fsr_end
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,3123,6068
11,3007,6082
12,3083,5995
13,2953,5965
14,2914,5951
15,2891,5906
16,2842,5871
17,2800,5856
18,2775,5832
19,2752,5823
20,2735,5815
21,2699,5843
22,2708,5838
23,2662,5847
24,2634,5912
25,2618,5890
26,2625,5901
27,2591,5915
28,2572,5907
29,2557,5910
30,2550,5915
31,2533,5914
32,2518,5931
33,2503,5941
34,2485,5948
35,2484,5963
36,2475,5989
37,2481,5967
38,2412,5977
39,2407,5998
40,2400,5973
41,2368,5990
42,2352,5998
43,2333,6010
44,2306,5965
45,2270,6015
46,2291,6095
47,2211,6047
48,2233,6070
49,2227,6056
50,2225,6077
51,2223,6078
52,2221,6097
53,2207,6092
54,2199,6119
55,2178,6118
56,2168,6156
57,2181,6123
58,2114,6160
59,2107,6177
60,2098,6180
61,2053,6210
62,2043,6235
63,2008,6255
64,2012,6270
65,1976,6285
66,1959,6294
67,1921,6310
68,1904,6320
69,1874,6339
70,1861,6357
71,1824,6363
72,1807,6387
73,1759,6400
74,1723,6432
75,1677,6449
76,1640,6485
77,1602,6506
78,1555,6533
79,1516,6551
80,1532,6576
81,1489,6612
82,1433,6633
83,1398,6618
84,1372,6625
85,1341,6618
86,1309,6614
87,1261,6606
88,1210,6634
89,1191,6669
90,1118,6729
91,1100,6722
92,1031,6770
93,977,6852
94,938,6919
95,904,6902
96,789,6986
97,735,6995
98,720,7004
99,680,7078
100,655,7064
101,621,7077
102,585,7059
103,527,7075
104,502,7033
105,424,6951
106,378,6841
107,226,6695
108,124,6407
109,0,6695
110,51,6647
111,0,6322
112,0,6709
113,0,6020
114,0,5646
115,0,5806
116,,
117,,
118,,
119,,
120,,
121,,
